,Actor Ranking,Title,Year,Genre,Rating
3138,42,Fluke,(1995),"Drama, Family, Fantasy",6.6
3139,42,Home of the Brave,(2006),"Action, Drama, War",5.6
3140,42,Great white Hype - Eine K.O.mödie,(1996),"Comedy, Sport",5.5
3141,42,Mütter und Töchter,(2009),"Drama, Romance",7.2
3142,42,The Samaritan, (2012),"Action, Crime, Drama",5.6
3143,42,Amos & Andrew - Zwei fast perfekte Chaoten,(1993),"Comedy, Crime",5.7
3144,42,Keine gute Tat,(2002),"Crime, Drama, Thriller",5.4
3145,42,Betsy's Wedding,(1990),"Comedy, Romance",5.6
3147,42,Julius Caesar Superstar,(1994),"Comedy, Music",3.1
3148,42,Def by Temptation,(1990),Horror,5.0
3149,42,The Champ,(2007),"Drama, Sport",6.7
3150,42,Zambezia - In jedem steckt ein kleiner Held,(2012),"Animation, Adventure, Comedy",5.7
3151,42,Strictly Business,(1991),"Comedy, Romance",5.4
3152,42,Das Gesicht der Wahrheit,(2006),"Crime, Drama, Mystery",5.1
3153,42,Together for Days,(1972),Drama,7.4
3154,42,Caveman's Valentine - Tod eines Engels,(2001),"Crime, Drama, Music",5.8
3155,42,Die verrückte Reise der Pinguine,(2006),Comedy,4.0
3156,42,The Return of Superfly,(1990),"Action, Crime, Drama",4.2
3157,42,In My Country,(2004),"Drama, Romance",6.0
3158,42,Quantum Quest: A Cassini Space Odyssey,(2010),"Animation, Adventure, Sci-Fi",5.2
3159,42,Der große Frust,(1994),"Comedy, Drama",5.7
3160,42,Auf der Suche nach Jimmy Hoyt,(1994),Comedy,6.0
3161,42,Getrennte Wege,(1992),"Drama, Thriller",4.9
3162,42,Gospel Hill,(2008),Drama,5.5
3164,42,Manny und Dan - Leben und Sterben in der Bronx,(1991),Drama,6.0
3166,42,Magic Sticks,(1987),Comedy,4.6
3169,42,A Backyard Story,(2010),Drama,8.4
3171,42,The Avengers Assemble Premiere,(2012),Action,7.8
3176,43,Bullet Train,(2022),"Action, Comedy, Thriller",7.3
3177,43,Gravity,(2013),"Drama, Sci-Fi, Thriller",7.7
3178,43,The Lost City - Das Geheimnis der verlorenen Stadt,(2022),"Action, Adventure, Comedy",6.1
3179,43,Ocean's 8,(2018),"Action, Comedy, Crime",6.3
3180,43,Blind Side - Die große Chance,(2009),"Biography, Drama, Sport",7.6
3181,43,Bird Box: Schließe deine Augen,(2018),"Horror, Mystery, Sci-Fi",6.6
3182,43,L.A. Crash, (2004),"Crime, Drama, Thriller",7.8
3183,43,Selbst ist die Braut, (2009),"Comedy, Drama, Romance",6.7
3184,43,Speed,(1994),"Action, Adventure, Thriller",7.3
3185,43,Die Jury,(1996),"Crime, Drama, Thriller",7.5
3186,43,Der Prinz von Ägypten,(1998),"Animation, Adventure, Drama",7.2
3187,43,The Unforgivable,(2021),"Crime, Drama",7.1
3188,43,Demolition Man,(1993),"Action, Sci-Fi, Thriller",6.7
3189,43,Minions,(2015),"Animation, Adventure, Comedy",6.4
3190,43,Während du schliefst,(1995),"Comedy, Drama, Romance",6.8
3191,43,Taffe Mädels, (2013),"Action, Comedy, Crime",6.6
3192,43,Miss Undercover,(2000),"Action, Comedy, Crime",6.3
3193,43,28 Tage,(2000),"Comedy, Drama",6.1
3194,43,Das Netz, (1995),"Action, Crime, Drama",5.9
3195,43,Zauberhafte Schwestern,(1998),"Comedy, Drama, Fantasy",6.2
3196,43,Speed 2: Cruise Control,(1997),"Action, Adventure, Crime",3.9
3197,43,Mord nach Plan,(2002),"Crime, Mystery, Thriller",6.1
3198,43,Das Haus am See,(2006),"Drama, Fantasy, Romance",6.8
